Cas	He	Hs	Te	Ts	Diam_WR	WRyoung	offset	mu_ini	Force	G
1	11.7754	8.1611	11.92	16.019	796.36298	216000	189.3425994	0.219382118	1216.56	7.2
1	11.7818	8.1495	12.157	16.103	796.36298	216000	184.0727306	0.231455002	1206.13	7.4
1	11.7585	8.1304	13.066	16.535	796.36298	216000	182.0058887	0.233319808	1189.92	7.4
1	11.7424	8.1208	14.263	16.32	796.36298	216000	180.39348	0.238853658	1183.49	7.4
1	11.7195	8.127	14.934	16.001	796.36298	216000	181.8686532	0.238182976	1185.1	7.3
1	11.685	8.137	15.798	16.301	796.36298	216000	182.3405519	0.245642971	1188.75	7.3
1	11.6601	8.1317	16.916	16.164	796.36298	216000	178.9243569	0.261284552	1183.89	7.4
1	11.6754	8.1378	17.535	16.347	796.36298	216000	178.9656537	0.263202324	1186.38	7.4
1	11.6703	8.154	15.979	15.652	796.36298	216000	181.3393364	0.261813989	1204.57	7.4
1	11.6685	8.1562	13.252	15.174	796.36298	216000	182.7964092	0.251641101	1207.67	7.4
1	11.6835	8.1405	12.273	15.281	796.36298	216000	179.5956637	0.251288847	1193.95	7.5
1	11.7094	8.1179	12.27	14.747	796.36298	216000	177.6192162	0.246201539	1182.23	7.5
1	11.7103	8.1215	12.747	14.85	796.36298	216000	181.6884869	0.233211599	1185.35	7.3
1	11.7455	8.1145	13.055	15.103	796.36298	216000	181.4631621	0.229533029	1183.21	7.3
1	11.7786	8.0973	13.034	14.876	796.36298	216000	179.1988881	0.231716812	1182.15	7.4
1	11.7764	8.1088	12.879	15.003	796.36298	216000	177.0910285	0.246882259	1192.36	7.6
1	11.8013	8.1374	13.099	15.986	796.36298	216000	180.4141009	0.246360182	1211.05	7.6
1	11.8061	8.1625	13.709	16.816	796.36298	216000	185.7943957	0.241741036	1233.11	7.5
1	11.8074	8.1699	14.432	16.761	796.36298	216000	184.4201928	0.253165303	1240.32	7.6
1	11.7883	8.1669	15.593	16.773	796.36298	216000	174.4637891	0.297590197	1237.27	7.9
1	11.7677	8.1632	16.683	17.088	796.36298	216000	183.9781324	0.257637018	1228.84	7.5
1	11.7588	8.169	17.264	16.751	796.36298	216000	181.6668991	0.274135808	1237.98	7.6
1	11.7549	8.1692	16.625	16.192	796.36298	216000	183.5716641	0.263326713	1234.92	7.5
1	11.767	8.1776	15.99	15.723	796.36298	216000	179.1269046	0.284413949	1244.59	7.7
1	11.7452	8.1937	14.652	15.385	796.36298	216000	174.1418653	0.321521182	1262.33	7.9
1	11.7586	8.2146	13.359	15.496	796.36298	216000	181.4411428	0.295808365	1282.12	7.8
1	11.7703	8.2246	12.139	16.108	796.36298	216000	177.3232323	0.321249025	1292.75	8
1	11.7772	8.2238	11.506	16.482	796.36298	216000	179.1180267	0.309882814	1293.42	8
1	11.7917	8.2117	12.542	17.303	796.36298	216000	178.881795	0.303275183	1281.5	8
1	11.8042	8.1827	13.268	17.305	796.36298	216000	179.6486177	0.280546177	1255.63	7.9
1	11.7943	8.1691	13.277	16.037	796.36298	216000	182.0245507	0.262004233	1243.26	7.7
1	11.7964	8.1548	13.674	15.457	796.36298	216000	177.2208636	0.273806419	1232.85	7.8
1	11.7866	8.1439	13.509	15.783	796.36298	216000	174.6863269	0.282412673	1229.73	7.9
1	11.7881	8.1521	13.421	15.29	796.36298	216000	180.0371658	0.263029641	1234.54	7.7
1	11.7967	8.1654	13.489	15.263	796.36298	216000	180.5349271	0.264987351	1240.15	7.7
1	11.8056	8.1739	13.844	16.132	796.36298	216000	179.5299678	0.274796308	1247.2	7.8
1	11.8089	8.1698	15.021	16.299	796.36298	216000	178.2995744	0.279047324	1242.04	7.8
1	11.8232	8.1607	15.717	16.291	796.36298	216000	177.5421218	0.278307259	1237.44	7.8
1	11.8365	8.1529	15.379	16.391	796.36298	216000	180.584038	0.261858132	1235.56	7.7
1	11.8292	8.1525	15.046	16.617	796.36298	216000	179.0054164	0.270246723	1239.18	7.8
1	11.8471	8.1696	13.966	15.635	796.36298	216000	173.6097444	0.295219492	1248.43	8
1	11.8573	8.1873	13.207	15.35	796.36298	216000	175.858119	0.294833657	1267.16	8
1	11.8528	8.2202	8.5	14.92	796.36298	216000	176.233569	0.310335091	1305.83	8.2
1	11.8491	8.2442	7.301	15.356	796.36298	216000	183.6487378	0.290541677	1327.97	8.1
1	11.8345	8.2426	10.739	16.903	796.36298	216000	171.7971678	0.37319121	1322.86	8.3
1	11.8271	8.2456	13.227	17.475	796.36298	216000	174.0393899	0.368478784	1324.05	8.2
1	11.8226	8.2436	15.297	17.367	796.36298	216000	184.564256	0.308831482	1323.79	7.9
1	11.8365	8.2367	15.579	17.051	796.36298	216000	179.9696763	0.327000733	1319.73	8
1	11.8194	8.2409	13.34	15.926	796.36298	216000	176.5968678	0.351008846	1329.77	8.1
1	11.828	8.2539	10.49	15.08	796.36298	216000	175.404719	0.365865432	1347.12	8.2
1	11.9177	8.287	6.876	15.796	796.36298	216000	188.2473071	0.300691211	1387.88	8.2
1	11.9291	8.3172	2.432	16.673	796.36298	216000	0	0	1426.75	8.8
1	11.9767	8.3368	0.481	16.422	796.36298	216000	0	0	1452.43	8.7
1	11.9868	8.3268	0.44	16.458	796.36298	216000	0	0	1450.74	8.8
1	12.0036	8.2813	4.615	16.865	796.36298	216000	197.4165951	0.261122207	1411.4	8.2
1	12.0033	8.2595	11.918	15.839	796.36298	216000	193.3474787	0.274347349	1386.55	8
1	12.0235	8.2232	10.109	13.236	796.36298	216000	182.4367251	0.288560534	1356.49	8.2
1	12.0007	8.2297	2.489	8.747	796.36298	216000	177.697667	0.301224413	1376.81	8.4
1	11.9551	8.2136	0.433	6.108	796.36298	216000	175.8973232	0.290771427	1352.76	8.3
1	11.9203	8.2348	0.082	7.167	796.36298	216000	174.2979715	0.322891716	1374.76	8.4
1	11.9056	8.2591	0.014	8.943	796.36298	216000	0	0	1389.79	8.6
1	11.8889	8.261	0.003	11.261	796.36298	216000	185.8125864	0.293222183	1395.56	8.3
1	11.8937	8.2078	0	15.672	796.36298	216000	185.8063358	0.263224239	1342.14	8.4
1	11.8984	8.1783	0	17.62	796.36298	216000	189.1577759	0.247149521	1339.29	8.4
1	11.8809	8.2069	0	14.53	796.36298	216000	178.1867798	0.306287542	1361.9	8.6
1	11.8945	7.7511	0	4.6	796.36298	216000	170.6453383	0.183437444	1187.45	7.6
