case	Errors	OffsetYield	Friction	Rolling_Torque	Sigma_Moy	Sigma_Ini	Sigma_Out	Sigma_Max	Force_Error(%)	Slip_Error(%)	Has_Converged
1	VOID	1.739147e+02	3.260792e-01	4.976658e+04	1.739147e+02	1.739147e+02	1.739147e+02	1.739147e+02	-6.361331e-06	-1.243763e-06	YES
1	VOID	1.709675e+02	3.420671e-01	4.828265e+04	1.709675e+02	1.709675e+02	1.709675e+02	1.709675e+02	-3.119315e-05	1.461184e-04	YES
1	VOID	1.778691e+02	3.097569e-01	4.963737e+04	1.778691e+02	1.778691e+02	1.778691e+02	1.778691e+02	-1.731913e-07	5.531971e-09	YES
1	VOID	1.731741e+02	3.320428e-01	4.831975e+04	1.731741e+02	1.731741e+02	1.731741e+02	1.731741e+02	-1.470585e-05	-9.339063e-06	YES
1	VOID	1.717784e+02	3.343333e-01	4.863270e+04	1.717784e+02	1.717784e+02	1.717784e+02	1.717784e+02	-1.453544e-05	-7.131969e-06	YES
1	VOID	1.764060e+02	3.067387e-01	5.037312e+04	1.764060e+02	1.764060e+02	1.764060e+02	1.764060e+02	2.043514e-06	-1.064975e-06	YES
1	VOID	1.770904e+02	2.927433e-01	5.110614e+04	1.770904e+02	1.770904e+02	1.770904e+02	1.770904e+02	5.854090e-07	1.210540e-06	YES
1	VOID	1.741165e+02	2.995335e-01	5.067710e+04	1.741165e+02	1.741165e+02	1.741165e+02	1.741165e+02	2.096756e-06	-9.275050e-07	YES
1	VOID	1.746929e+02	2.882073e-01	5.088467e+04	1.746929e+02	1.746929e+02	1.746929e+02	1.746929e+02	-7.419741e-05	-1.788126e-04	YES
1	VOID	1.737518e+02	2.821427e-01	5.058874e+04	1.737518e+02	1.737518e+02	1.737518e+02	1.737518e+02	-4.960068e-05	-8.713415e-05	YES
1	VOID	1.703269e+02	2.897454e-01	4.958331e+04	1.703269e+02	1.703269e+02	1.703269e+02	1.703269e+02	5.420173e-07	1.359132e-06	YES
1	VOID	1.715834e+02	2.897663e-01	5.001974e+04	1.715834e+02	1.715834e+02	1.715834e+02	1.715834e+02	6.010795e-07	-6.211190e-07	YES
1	VOID	1.746731e+02	2.848254e-01	5.000232e+04	1.746731e+02	1.746731e+02	1.746731e+02	1.746731e+02	-5.527047e-05	-8.492623e-05	YES
1	VOID	1.770110e+02	2.745149e-01	5.013430e+04	1.770110e+02	1.770110e+02	1.770110e+02	1.770110e+02	-1.851950e-05	-3.542227e-05	YES
1	VOID	1.768145e+02	2.794578e-01	5.015312e+04	1.768145e+02	1.768145e+02	1.768145e+02	1.768145e+02	-3.806336e-05	-6.292262e-05	YES
1	VOID	1.786173e+02	2.744249e-01	5.142589e+04	1.786173e+02	1.786173e+02	1.786173e+02	1.786173e+02	-1.522040e-05	-3.000652e-05	YES
1	VOID	1.743628e+02	2.983968e-01	5.049581e+04	1.743628e+02	1.743628e+02	1.743628e+02	1.743628e+02	1.951268e-06	-6.907306e-07	YES
